ip_address,timestamp,login_status,request_type,is_anomaly_ground_truth
192.168.1.42,2024-03-20 15:51:00,success,GET,0
192.168.1.26,2024-03-08 08:00:00,success,GET,0
192.168.1.5,2024-01-11 11:37:00,success,GET,0
192.168.1.31,2024-03-13 11:33:00,success,GET,0
192.168.1.22,2024-03-10 15:21:00,success,GET,0
192.168.1.15,2024-01-25 12:13:00,failure,GET,0
192.168.1.44,2024-01-12 11:40:00,success,PUT,0
192.168.1.39,2024-01-15 18:36:00,success,GET,0
192.168.1.13,2024-01-16 14:59:00,failure,POST,0
192.168.1.35,2024-01-17 18:24:00,success,GET,0
192.168.1.18,2024-01-13 10:23:00,success,POST,0
192.168.1.50,2024-02-29 17:20:00,success,GET,0
192.168.1.37,2024-01-20 13:03:00,success,GET,0
10.0.0.5,2024-03-15 09:29:00,failure,POST,1
192.168.1.19,2024-03-09 10:19:00,success,GET,0
192.168.1.44,2024-03-02 16:47:00,success,PUT,0
192.168.1.48,2024-01-12 16:36:00,success,POST,0
192.168.1.29,2024-01-19 09:06:00,success,PUT,0
192.168.1.44,2024-03-04 14:33:00,success,GET,0
192.168.1.5,2024-01-03 15:39:00,success,GET,0
192.168.1.8,2024-01-28 14:33:00,success,GET,0
192.168.1.21,2024-03-28 17:29:00,success,GET,0
192.168.1.43,2024-03-19 16:10:00,success,GET,0
192.168.1.22,2024-01-02 14:18:00,success,GET,0
192.168.1.36,2024-01-08 12:44:00,success,GET,0
192.168.1.23,2024-02-07 13:46:00,success,GET,0
192.168.1.17,2024-03-26 08:13:00,success,PUT,0
10.0.0.4,2024-02-29 11:57:00,failure,DELETE,1
192.168.1.7,2024-01-21 09:15:00,success,PUT,0
192.168.1.27,2024-01-02 17:00:00,success,POST,0
192.168.1.47,2024-03-19 14:04:00,success,POST,0
192.168.1.30,2024-02-08 12:44:00,success,POST,0
192.168.1.10,2024-03-15 18:14:00,success,POST,0
192.168.1.42,2024-03-27 12:07:00,success,POST,0
192.168.1.9,2024-01-07 09:32:00,success,GET,0
192.168.1.19,2024-03-08 11:40:00,success,PUT,0
192.168.1.9,2024-01-08 17:45:00,success,GET,0
192.168.1.46,2024-03-06 11:12:00,success,GET,0
192.168.1.5,2024-02-08 10:21:00,success,GET,0
192.168.1.48,2024-02-01 14:08:00,success,PUT,0
192.168.1.27,2024-03-05 10:02:00,success,GET,0
192.168.1.47,2024-01-23 12:11:00,success,GET,0
192.168.1.48,2024-01-26 08:09:00,success,GET,0
10.0.0.3,2024-02-17 09:17:00,failure,POST,1
192.168.1.50,2024-01-22 15:32:00,success,GET,0
192.168.1.30,2024-03-25 08:18:00,success,GET,0
192.168.1.5,2024-02-26 16:06:00,success,GET,0
192.168.1.35,2024-02-16 18:59:00,success,GET,0
192.168.1.8,2024-01-20 18:23:00,success,POST,0
192.168.1.28,2024-03-17 18:46:00,success,PUT,0
192.168.1.19,2024-02-08 16:40:00,success,GET,0
192.168.1.40,2024-03-27 13:10:00,success,PUT,0
192.168.1.47,2024-01-01 11:29:00,success,GET,0
192.168.1.21,2024-03-03 09:22:00,success,POST,0
192.168.1.39,2024-02-04 16:58:00,success,GET,0
192.168.1.13,2024-03-30 08:12:00,success,GET,0
192.168.1.6,2024-03-29 16:43:00,success,PUT,0
192.168.1.2,2024-01-04 18:13:00,success,PUT,0
192.168.1.43,2024-01-01 15:21:00,success,GET,0
192.168.1.4,2024-03-27 14:33:00,success,GET,0
192.168.1.16,2024-01-29 11:39:00,success,POST,0
192.168.1.26,2024-02-02 12:38:00,failure,GET,0
192.168.1.40,2024-03-21 09:59:00,success,GET,0
192.168.1.36,2024-02-20 16:01:00,success,GET,0
192.168.1.15,2024-03-15 15:25:00,success,GET,0
192.168.1.27,2024-03-08 17:33:00,success,GET,0
192.168.1.8,2024-01-28 16:32:00,success,GET,0
192.168.1.42,2024-03-05 12:16:00,success,PUT,0
192.168.1.39,2024-01-08 14:33:00,success,GET,0
192.168.1.41,2024-01-21 16:54:00,success,GET,0
192.168.1.29,2024-02-27 13:55:00,success,PUT,0
192.168.1.45,2024-03-13 11:58:00,success,GET,0
192.168.1.7,2024-01-26 12:20:00,success,PUT,0
192.168.1.21,2024-01-08 11:51:00,success,PUT,0
192.168.1.30,2024-01-12 14:52:00,success,GET,0
192.168.1.3,2024-01-17 12:37:00,success,POST,0
192.168.1.24,2024-02-01 09:10:00,success,POST,0
192.168.1.43,2024-01-03 08:07:00,success,GET,0
192.168.1.7,2024-01-04 15:23:00,success,GET,0
192.168.1.36,2024-03-01 16:56:00,success,PUT,0
192.168.1.41,2024-03-27 09:56:00,success,GET,0
192.168.1.41,2024-01-21 10:55:00,success,POST,0
192.168.1.38,2024-02-23 10:30:00,success,PUT,0
192.168.1.44,2024-01-07 15:32:00,success,GET,0
192.168.1.18,2024-01-31 11:43:00,success,GET,0
192.168.1.45,2024-01-10 18:59:00,success,GET,0
10.0.0.1,2024-03-14 09:49:00,success,GET,1
192.168.1.39,2024-03-01 15:11:00,success,GET,0
192.168.1.28,2024-02-11 16:44:00,success,GET,0
