ip_address,timestamp,login_status,request_type,is_anomaly_ground_truth,hour_of_day,day_of_week,is_weekend,is_off_hours,login_encoded,ip_encoded,request_encoded,anomaly_label
192.168.1.42,2024-03-20 15:51:00,success,GET,0,15,2,0,0,1,46,1,1
192.168.1.26,2024-03-08 08:00:00,success,GET,0,8,4,0,0,1,28,1,1
192.168.1.5,2024-01-11 11:37:00,success,GET,0,11,3,0,0,1,54,1,1
192.168.1.31,2024-03-13 11:33:00,success,GET,0,11,2,0,0,1,34,1,1
192.168.1.22,2024-03-10 15:21:00,success,GET,0,15,6,1,0,1,24,1,1
192.168.1.15,2024-01-25 12:13:00,failure,GET,0,12,3,0,0,0,16,1,1
192.168.1.44,2024-01-12 11:40:00,success,PUT,0,11,4,0,0,1,48,3,1
192.168.1.39,2024-01-15 18:36:00,success,GET,0,18,0,0,0,1,42,1,1
192.168.1.13,2024-01-16 14:59:00,failure,POST,0,14,1,0,0,0,14,2,1
192.168.1.35,2024-01-17 18:24:00,success,GET,0,18,2,0,0,1,38,1,1
192.168.1.18,2024-01-13 10:23:00,success,POST,0,10,5,1,0,1,19,2,1
192.168.1.50,2024-02-29 17:20:00,success,GET,0,17,3,0,0,1,55,1,1
192.168.1.37,2024-01-20 13:03:00,success,GET,0,13,5,1,0,1,40,1,1
10.0.0.5,2024-03-15 09:29:00,failure,POST,1,9,4,0,0,0,5,2,-1
192.168.1.19,2024-03-09 10:19:00,success,GET,0,10,5,1,0,1,20,1,1
192.168.1.44,2024-03-02 16:47:00,success,PUT,0,16,5,1,0,1,48,3,1
192.168.1.48,2024-01-12 16:36:00,success,POST,0,16,4,0,0,1,52,2,1
192.168.1.29,2024-01-19 09:06:00,success,PUT,0,9,4,0,0,1,31,3,1
192.168.1.44,2024-03-04 14:33:00,success,GET,0,14,0,0,0,1,48,1,1
192.168.1.5,2024-01-03 15:39:00,success,GET,0,15,2,0,0,1,54,1,1
192.168.1.8,2024-01-28 14:33:00,success,GET,0,14,6,1,0,1,58,1,1
192.168.1.21,2024-03-28 17:29:00,success,GET,0,17,3,0,0,1,23,1,1
192.168.1.43,2024-03-19 16:10:00,success,GET,0,16,1,0,0,1,47,1,1
192.168.1.22,2024-01-02 14:18:00,success,GET,0,14,1,0,0,1,24,1,1
192.168.1.36,2024-01-08 12:44:00,success,GET,0,12,0,0,0,1,39,1,1
192.168.1.23,2024-02-07 13:46:00,success,GET,0,13,2,0,0,1,25,1,1
192.168.1.17,2024-03-26 08:13:00,success,PUT,0,8,1,0,0,1,18,3,1
10.0.0.4,2024-02-29 11:57:00,failure,DELETE,1,11,3,0,0,0,4,0,-1
192.168.1.7,2024-01-21 09:15:00,success,PUT,0,9,6,1,0,1,57,3,1
192.168.1.27,2024-01-02 17:00:00,success,POST,0,17,1,0,0,1,29,2,1
192.168.1.47,2024-03-19 14:04:00,success,POST,0,14,1,0,0,1,51,2,1
192.168.1.30,2024-02-08 12:44:00,success,POST,0,12,3,0,0,1,33,2,1
192.168.1.10,2024-03-15 18:14:00,success,POST,0,18,4,0,0,1,11,2,1
192.168.1.42,2024-03-27 12:07:00,success,POST,0,12,2,0,0,1,46,2,1
